name,brand,sku,category,price,original_price,stock,description,image,bullet_points,is_featured,is_deal,status
Premium Brass Ganesha Idol 12 inch,Sacred Arts,BA-001,Brass Idols,2499,3499,120,Handcrafted premium brass Ganesha idol with intricate detailing. Perfect for home temples and gifting. Made by traditional artisans from Kumbakonam.,https://images.unsplash.com/photo-1567591370504-81e8d3fa1e03?auto=format&fit=crop&q=80&w=600,Handcrafted by master artisans|Pure brass construction|12 inch height|Ideal for home temple|Traditional Kumbakonam design,true,false,Active
Brass Lakshmi Devi Statue,Divine Creations,BA-002,Brass Idols,1899,2599,85,Beautiful Lakshmi Devi brass statue symbolizing wealth and prosperity. Finely detailed with traditional motifs.,https://images.unsplash.com/photo-1618763824433-c00eb8271452?auto=format&fit=crop&q=80&w=600,Symbol of wealth and prosperity|Fine traditional detailing|Premium brass material|8 inch height|Perfect for Diwali pooja,true,true,Active
Lord Shiva Nataraja Bronze Idol,Temple Treasures,BA-003,Brass Idols,3999,5499,45,Exquisite Nataraja dancing Shiva idol in bronze finish. Depicts the cosmic dance of creation and destruction.,https://images.unsplash.com/photo-1583089892943-e02e5b017b6a?auto=format&fit=crop&q=80&w=600,Bronze finish Nataraja|Cosmic dance depiction|15 inch height|Museum quality craftsmanship|Includes wooden base,false,false,Active
Brass Vishnu Standing Idol,Sacred Arts,BA-004,Brass Idols,2199,2999,60,Lord Vishnu standing idol in pure brass with Shankha and Chakra. Traditional South Indian temple style.,https://images.unsplash.com/photo-1564399579883-451a5d44ec08?auto=format&fit=crop&q=80&w=600,Pure brass Vishnu idol|South Indian temple style|10 inch height|Shankha and Chakra details|Antique gold finish,false,false,Active
Brass Saraswati Idol with Veena,Divine Creations,BA-005,Brass Idols,1799,2499,75,Goddess Saraswati seated with Veena. Symbolizes knowledge and arts. Perfect for students and artists.,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?auto=format&fit=crop&q=80&w=600,Goddess of knowledge|Detailed Veena carving|9 inch seated idol|Ideal for study rooms|Premium brass alloy,false,true,Active
Brass Hanuman Ji Standing Idol,Temple Treasures,BA-006,Brass Idols,1599,2199,90,Powerful Hanuman Ji standing idol with Gada. Radiates strength and devotion. Hand polished finish.,https://images.unsplash.com/photo-1590845947698-dc1d35bce119?auto=format&fit=crop&q=80&w=600,Hanuman with Gada|Hand polished brass|11 inch height|Symbol of devotion|Heavy solid construction,false,false,Active
Brass Radha Krishna Idol Set,Sacred Arts,BA-007,Brass Idols,3499,4999,35,Divine Radha Krishna pair idol set in premium brass. Depicts eternal love and devotion.,https://images.unsplash.com/photo-1621355928777-3162a2e496e0?auto=format&fit=crop&q=80&w=600,Radha Krishna pair set|Premium brass finish|12 inch height|Intricate floral base|Symbol of divine love,true,false,Active
Brass Durga Maa Idol,Divine Creations,BA-008,Brass Idols,2799,3999,50,Majestic Durga Maa idol with lion mount. Eight-armed form with weapons. Navratri special.,https://images.unsplash.com/photo-1603228254119-e6a4d095dc59?auto=format&fit=crop&q=80&w=600,Eight-armed Durga form|Lion mount included|13 inch height|Navratri special|Traditional Bengal style,false,false,Active
Mini Brass Ganesha Set of 5,Temple Treasures,BA-009,Brass Idols,999,1499,200,Set of 5 mini Ganesha idols in different poses. Perfect for return gifts and home decor.,https://images.unsplash.com/photo-1597466765990-64ad1c35dafc?auto=format&fit=crop&q=80&w=600,Set of 5 Ganeshas|Different poses|3 inch each|Perfect return gifts|Gift box included,false,true,Active
Brass Nandi Bull Idol,Sacred Arts,BA-010,Brass Idols,1299,1799,110,Sacred Nandi bull brass idol. Perfect companion for Shiva temple. Detailed muscular form.,https://images.unsplash.com/photo-1582639590011-532f7213f484?auto=format&fit=crop&q=80&w=600,Sacred Nandi bull|Companion for Shiva|6 inch height|Detailed muscle work|Antique brass finish,false,false,Active
Bhagavad Gita - Deluxe Hindi Edition,Gita Press,SB-001,Spiritual Books,499,699,300,Complete Bhagavad Gita with Hindi translation and commentary. Deluxe hardbound edition with gold foil cover.,https://images.unsplash.com/photo-1544947950-fa07a98d237f?auto=format&fit=crop&q=80&w=600,Complete 18 chapters|Hindi translation|Gold foil hardcover|700+ pages|Gita Press Gorakhpur,true,true,Active
Ramayana - Illustrated Edition,Vedic Books,SB-002,Spiritual Books,599,899,250,Beautifully illustrated Ramayana with vivid paintings. Complete story of Lord Rama in English.,https://images.unsplash.com/photo-1512820790803-83ca734da794?auto=format&fit=crop&q=80&w=600,Full color illustrations|English translation|Hardbound edition|500+ pages|Family reading edition,true,false,Active
Sunderkand Path Book,Gita Press,SB-003,Spiritual Books,199,299,500,Sunderkand paath book with Hindi text and meaning. Pocket-size for daily recitation.,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?auto=format&fit=crop&q=80&w=600,Pocket size edition|Hindi with meaning|Large font print|Daily recitation guide|Durable binding,false,false,Active
Vishnu Sahasranamam Book,Vedic Books,SB-004,Spiritual Books,299,449,180,Vishnu Sahasranamam with Sanskrit shloka and English translation. Includes pronunciation guide.,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&q=80&w=600,Sanskrit with English|Pronunciation guide|200+ pages|Commentary included|Premium paper quality,false,false,Active
Lalitha Sahasranamam,Gita Press,SB-005,Spiritual Books,249,399,220,Complete Lalitha Sahasranamam stotram with meaning. Ideal for daily devi worship.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?auto=format&fit=crop&q=80&w=600,Complete stotram text|Word by word meaning|Tamil and English|Compact size|Daily worship guide,false,true,Active
Hanuman Chalisa - Premium Edition,Vedic Books,SB-006,Spiritual Books,149,249,450,Premium Hanuman Chalisa with Aarti and Bajrang Baan. Large font for easy reading.,https://images.unsplash.com/photo-1524578271613-d550eacf6090?auto=format&fit=crop&q=80&w=600,Large font edition|Includes Aarti|Bajrang Baan included|Hindi with meaning|Laminated cover,false,false,Active
Yoga Sutras of Patanjali,Sacred Wisdom,SB-007,Spiritual Books,799,1199,80,Complete Yoga Sutras with detailed commentary. Sanskrit text with English translation by expert scholars.,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?auto=format&fit=crop&q=80&w=600,Expert commentary|Sanskrit original|English translation|400+ pages|Academic reference quality,false,false,Active
Upanishad Collection - Complete Set,Gita Press,SB-008,Spiritual Books,1499,2199,40,Complete set of principal Upanishads. Scholarly translation with philosophical notes.,https://images.unsplash.com/photo-1589998059171-988d887df646?auto=format&fit=crop&q=80&w=600,All principal Upanishads|3 volume set|Scholarly notes|1200+ pages|Collector edition,true,false,Active
Devi Mahatmyam Book,Vedic Books,SB-009,Spiritual Books,349,499,160,Devi Mahatmyam with Sanskrit text and English translation. Essential for Navratri celebrations.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?auto=format&fit=crop&q=80&w=600,Navratri essential|Sanskrit with English|Detailed rituals|250+ pages|Hardbound edition,false,false,Active
Shiv Purana - Hindi,Gita Press,SB-010,Spiritual Books,449,649,130,Complete Shiv Purana in Hindi. Stories and legends of Lord Shiva with illustrations.,https://images.unsplash.com/photo-1516979187457-637abb4f9353?auto=format&fit=crop&q=80&w=600,Complete Shiv Purana|Hindi edition|Illustrated stories|600+ pages|Traditional binding,false,false,Active
